floor_id,n_customer,vote_hot_rate,vote_cold_rate,voc_all_rate,VOC_toilet_rate,VOC_lamp_rate,VOC_electric_rate,VOC_door_rate,VOC_dirty_rate,VOC_noise_rate
TG_0002063,12,,,8.3%,,,8.3%,,,
TG_0002064,18,,,5.6%,,,,,5.6%,
TG_0002065,26,,,11.5%,,7.7%,,,,
TG_0002066,20,,,,,,,,,
TG_0002067,5,,,40.0%,,,20.0%,,,20.0%
TG_0002068,20,,,,,,,,,
TG_0002069,3,,,,,,,,,
TG_0002070,8,,,25.0%,,,,,,
TG_0002075,16,,,6.3%,,,,,,
TG_0002078,15,,,,,,,,,
TG_0002080,25,,,,,,,,,
TG_0002083,4,,,,,,,,,
TG_0002084,23,,,,,,,,,
TG_0002085,14,,,,,,,,,
TG_0002086,17,,,,,,,,,
TG_0002087,4,,,,,,,,,
TG_0002088,20,,,5.0%,,,,,5.0%,
TG_0002089,19,,,,,,,,,
TG_0002090,18,,,,,,,,,
TG_0002091,17,,,,,,,,,
TG_0002092,17,,,,,,,,,
TG_0002093,14,,,14.3%,,,,,,
TG_0002094,7,,,,,,,,,
TG_0002095,12,,,,,,,,,
TG_0002098,6,,,,,,,,,
TG_0002100,10,,,10.0%,,,,,10.0%,
TG_0002101,8,,,12.5%,,,,,,
TG_0002102,36,,,,,,,,,
TG_0002103,14,,,,,,,,,
TG_0002104,8,,,,,,,,,
TG_0002105,10,,,,,,,,,
TG_0002106,7,,,,,,,,,
TG_0002107,12,,,,,,,,,
TG_0002108,5,,,,,,,,,
TG_0002109,4,,,50.0%,,,,25.0%,,
TG_0002111,19,,,5.3%,,,,,,
TG_0002129,6,,,,,,,,,
TG_0002132,2,,,,,,,,,
TG_0002133,4,,,25.0%,,,,,,
TG_0002134,9,,,,,,,,,
TG_0002135,16,,,,,,,,,
TG_0002136,8,87.5%,0.0%,87.5%,,,,,,
TG_0002137,2,,,,,,,,,
TG_0002138,10,,,10.0%,,,,,,
TG_0002141,4,,,,,,,,,
TG_0002143,27,,,3.7%,,,,,,3.7%
TG_0002144,11,,,,,,,,,
TG_0002145,9,,,11.1%,,,,11.1%,,
TG_0002146,4,,,,,,,,,
TG_0002147,8,,,,,,,,,
TG_0002148,2,,,,,,,,,
TG_0002155,7,,,,,,,,,
TG_0002156,17,,,11.8%,,,,,,
TG_0002157,28,,,10.7%,,3.6%,,,,
TG_0002158,1,,,,,,,,,
TG_0002159,1,,,,,,,,,
TG_0002161,29,,,10.3%,,,,3.4%,,
TG_0002162,11,,,18.2%,,,,,,
TG_0002163,33,9.1%,6.1%,18.2%,,,,,,
TG_0002164,45,26.7%,0.0%,26.7%,,2.2%,,2.2%,,
TG_0002168,5,,,,,,,,,
TG_0002169,1,,,,,,,,,
TG_0002173,10,,,10.0%,,,,,10.0%,
TG_0002175,14,21.4%,0.0%,21.4%,,,,,,
TG_0002178,28,78.6%,21.4%,57.1%,,,,,,
TG_0002182,28,,,,,,,,,
TG_0002183,21,4.8%,4.8%,,,,,,,
TG_0002185,12,,,,,,,,,
TG_0002188,2,,,,,,,,,
TG_0002192,24,,,12.5%,,,,,,
TG_0002193,1,,,,,,,,,
